"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
11.0,"Super Solitaire","Free Cell","No Mouse","","Super Nintendo","","baldnate",251.0,"2021-08-29","https://youtu.be/FnyM3XdZ64A","Played on an SNS-001 with SD2SNES and gamepad."
4.0,"Super Solitaire","Golf","Dead King -- No Mouse","","Super Nintendo","","baldnate",72.0,"2021-08-29","https://youtu.be/EnAiEkuWK8Q","Played on an SNS-001 with SD2SNES and gamepad."
7.0,"Super Solitaire","Klondike","1 Flip -- No Mouse","","Super Nintendo","","baldnate",140.0,"2021-08-28","https://youtu.be/7pADwt4V-Js","Played on an SNS-001 with SD2SNES and gamepad."
4.0,"Super Solitaire","Poker","No Mouse","100","Super Nintendo","","baldnate",0.1,"2021-08-28","https://youtu.be/3dP4e1yJXLs","Played on an SNS-001 with SD2SNES and gamepad."
1.0,"Alien Crush","10 Million Points","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",498.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
1.0,"Alien Crush","25 Million Points","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",1379.0,"2021-07-23","https://www.youtube.com/watch?v=rE6Gz2wrWYY","Played on a TG-16 with TBED."
1.0,"Magical Chase","Bumpy","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",1536.0,"2021-07-09","https://youtu.be/L3CfALAjMNU","Played on a TG-16 with TBED."
10.0,"Golf Grand Slam","Tournament Any%","","","Nintendo Entertainment System","JPN / NTSC","baldnate",822.0,"2021-06-15","https://youtu.be/yspnUSClsyU","Played on a front-loader with EDN8."
1.0,"Golf Ko Open","Any%","","","Nintendo Entertainment System","JPN / NTSC","baldnate",790.0,"2021-06-15","https://youtu.be/ckTEahjze4o","Played on a front-loader with EDN8."
2.0,"Tonight We Riot","Any%","","","PC","USA / NTSC","baldnate",151.0,"2021-06-12","https://youtu.be/UYgKQEY9SNg","Played using the itch.io release with mouse and keyboard.  Uses Skippity Skip, Skip to skip from 1-2 to the final boss, and Corporate Takeover to skip fighting phase three of the final boss."
2.0,"Legend of Hero Tonma","Any%","TG-16/PC-Engine","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",348.0,"2021-05-27","https://youtu.be/B9KRl44KHV0","Played on a TurboGrafx 16 with a TBED."
1.0,"Venture","All Unique Treasures","Skill 2","","ColecoVision","","baldnate",159.417,"2021-05-15","https://youtu.be/LvVaKhxz_sQ","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 3","","ColecoVision","","baldnate",165.3,"2021-05-15","https://youtu.be/Fp2sMHfxw3c","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 4","","ColecoVision","","baldnate",281.634,"2021-05-15","https://youtu.be/bV0eHP9_bfs","Played on MiSTer."
1.0,"Venture","All Unique Treasures","Skill 1","","ColecoVision","","baldnate",147.217,"2021-05-14","https://youtu.be/CDp6JXRsMB0","Played on MiSTer."
1.0,"Venture","Full Treasure List","Skill 1","","ColecoVision","","baldnate",476.717,"2021-05-14","https://youtu.be/XIlE-yEd-yA","Played on MiSTer."
1.0,"Tonight We Riot","All Levels","","","PC","USA / NTSC","baldnate",1549.0,"2021-05-05","https://www.youtube.com/watch?v=98LSHLVISWw","Played on Windows with itch.io release, using an XBox 360 controller."
1.0,"Godzilla Domination!","Any% JP","","","Game Boy Advance","JPN / NTSC","baldnate",521.0,"2021-05-02","https://youtu.be/I1_jiUZApn8","Played on MiSTer."
1.0,"Godzilla Domination!","Any% US","","","Game Boy Advance","USA / NTSC","baldnate",581.0,"2021-04-25","https://youtu.be/AeOgQoJ9ZWk","Played on MiSTer."
3.0,"Caveman Games","All WRs","","","Nintendo Entertainment System","USA / NTSC","baldnate",265.317,"2021-04-18","https://youtu.be/HEBW19fLxTc","Played on a front-loader NES with EDN8.  Frame counted in avidemux.  Confirmed that ""GRONK NEW RECORD"" appears for each event after the clubbing event."
2.0,"Ninja Golf","Any%","Easy","","Atari 7800","USA / NTSC","baldnate",815.0,"2021-03-29","https://youtu.be/IJP3ak-D4XU","Played on MiSTer."
1.0,"Ninja Golf","Any%","Normal","","Atari 7800","USA / NTSC","baldnate",980.0,"2021-03-16","https://youtu.be/P2aehCNoQmw","Played on MiSTeR."
1.0,"Ninja Golf","Any%","Hard","","Atari 7800","USA / NTSC","baldnate",942.0,"2021-03-16","https://youtu.be/gy8h14qlvZQ","Played on MiSTeR."
1.0,"Ninja Golf","Any%","Kamikaze","","Atari 7800","USA / NTSC","baldnate",914.0,"2021-03-16","https://youtu.be/n6ANVbMJjtY","Played on MiSTeR."
1.0,"Wheel of Fortune (Wii)","Versus Win","","","Wii","USA / NTSC","baldnate",454.0,"2021-02-07","https://youtu.be/ISEY9dU-hYg","Played on a Wii with original disc."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 12","","Atari 5200","USA / NTSC","baldnate",251.0,"2021-01-26","https://youtu.be/ONm-1IeAm_4","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 12","","Atari 5200","USA / NTSC","baldnate",396.0,"2021-01-26","https://youtu.be/ONm-1IeAm_4","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 1","","Atari 5200","USA / NTSC","baldnate",234.0,"2021-01-26","https://youtu.be/KlnFtMx_XC0","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 1","","Atari 5200","USA / NTSC","baldnate",372.0,"2021-01-26","https://youtu.be/Qru4Ul9lNkQ","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","20,000 points.","Game 1","","Atari 5200","USA / NTSC","baldnate",1094.0,"2021-01-26","https://youtu.be/Qru4Ul9lNkQ","Played on MiSTer."
1.0,"Kangaroo (Arcade)","Atari 2600","Advanced","","Atari 2600","USA / NTSC","baldnate",77.0,"2021-01-26","https://youtu.be/Xu8j18iUelY","Played on MiSTer."
1.0,"Kangaroo (Arcade)","Atari 2600","Novice","","Atari 2600","USA / NTSC","baldnate",74.867,"2021-01-26","https://youtu.be/59nkdDh-i0s","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 11","","Atari 5200","USA / NTSC","baldnate",241.0,"2021-01-25","https://youtu.be/lrqDAdK9kyM","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 11","","Atari 5200","USA / NTSC","baldnate",398.0,"2021-01-25","https://youtu.be/lrqDAdK9kyM","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 10","","Atari 5200","USA / NTSC","baldnate",257.0,"2021-01-25","https://youtu.be/AARyMwFD3No","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 10","","Atari 5200","USA / NTSC","baldnate",413.0,"2021-01-25","https://youtu.be/AARyMwFD3No","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 6","","Atari 5200","USA / NTSC","baldnate",253.0,"2021-01-24","https://youtu.be/Pt3DzGEMdbo","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 6","","Atari 5200","USA / NTSC","baldnate",400.0,"2021-01-24","https://youtu.be/Pt3DzGEMdbo","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 7","","Atari 5200","USA / NTSC","baldnate",250.0,"2021-01-24","https://youtu.be/o9H3wYsKFvQ","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 7","","Atari 5200","USA / NTSC","baldnate",404.0,"2021-01-24","https://youtu.be/o9H3wYsKFvQ","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 9","","Atari 5200","USA / NTSC","baldnate",240.0,"2021-01-24","https://youtu.be/g-bHWM6HxBw","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 8","","Atari 5200","USA / NTSC","baldnate",243.0,"2021-01-24","https://youtu.be/Q_9X_vNC3WY","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 8","","Atari 5200","USA / NTSC","baldnate",370.0,"2021-01-24","https://youtu.be/Q_9X_vNC3WY","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 2","","Atari 5200","USA / NTSC","baldnate",413.0,"2021-01-23","https://youtu.be/_TBMx_KUIos","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 3","","Atari 5200","USA / NTSC","baldnate",399.0,"2021-01-23","https://youtu.be/dNCh_HtFwhw","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 2","","Atari 5200","USA / NTSC","baldnate",255.0,"2021-01-23","https://youtu.be/_TBMx_KUIos","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 3","","Atari 5200","USA / NTSC","baldnate",251.0,"2021-01-23","https://youtu.be/dNCh_HtFwhw","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 5","","Atari 5200","USA / NTSC","baldnate",386.0,"2021-01-23","https://youtu.be/sOyCNyahN7A","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","5,200 points","Game 4","","Atari 5200","USA / NTSC","baldnate",380.0,"2021-01-23","https://youtu.be/hFz47Fxu-WU","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 5","","Atari 5200","USA / NTSC","baldnate",232.0,"2021-01-23","https://youtu.be/vkUvbmUNJuk","Played on MiSTer."
1.0,"Space Invaders (Atari 5200)","1 Loop","Game 4","","Atari 5200","USA / NTSC","baldnate",226.0,"2021-01-23","https://youtu.be/hFz47Fxu-WU","Played on MiSTer."
2.0,"Time Pilot","Colecovision 1-Loop","","","ColecoVision","USA / NTSC","baldnate",163.17,"2021-01-22","https://youtu.be/_JkA7yUUOUo","Played on MiSTer."
1.0,"Ultimate QIX / Volfied","Mode A","Easy","","Sega Genesis","USA / NTSC","baldnate",1249.3,"2021-01-18","https://youtu.be/C9gaXqCDZ5I","Played on a Genesis v2 with MegaSD."
2.0,"Devil's Crush","Genesis","5 Million Points","","Sega Genesis","JPN / NTSC","baldnate",37.2,"2021-01-13","https://youtu.be/a9grAo-EZcI","Played on a Genesis Model 2 with MegaSD."
3.0,"Candy Land, Chutes and Ladders, Memory","Memory","1 Player -- 20","","Game Boy Advance","USA / NTSC","baldnate",44.0,"2021-01-10","https://youtu.be/8KXNioFpdgM","Played on MiSTer."
2.0,"Candy Land, Chutes and Ladders, Memory","Candy Land","CPU%","","Game Boy Advance","USA / NTSC","baldnate",47.0,"2021-01-10","https://youtu.be/ha25pSDEOP0","Played on MiSTer."
5.0,"Candy Land, Chutes and Ladders, Memory","Candy Land","2 Player","","Game Boy Advance","USA / NTSC","baldnate",66.0,"2021-01-10","https://youtu.be/VqMoueABdvM","Played on MiSTer."
2.0,"Candy Land, Chutes and Ladders, Memory","Memory","CPU% -- 20","","Game Boy Advance","USA / NTSC","baldnate",79.0,"2021-01-10","https://youtu.be/9Q0eqep5GjM","https://youtu.be/9Q0eqep5GjM"
9.0,"Candy Land, Chutes and Ladders, Memory","Chutes & Ladders","2 Player","","Game Boy Advance","USA / NTSC","baldnate",120.0,"2021-01-10","https://youtu.be/WcAE13QRns0","Played on MiSTer."
4.0,"Candy Land, Chutes and Ladders, Memory","Chutes & Ladders","CPU%","","Game Boy Advance","USA / NTSC","baldnate",122.0,"2021-01-10","https://youtu.be/scT8n-vINe4","Played on MiSTer."
2.0,"Candy Land, Chutes and Ladders, Memory","Memory","CPU% -- 42","","Game Boy Advance","USA / NTSC","baldnate",151.0,"2021-01-10","https://youtu.be/We8eF0kOcDo","Played on MiSTer."
2.0,"Candy Land, Chutes and Ladders, Memory","Memory","CPU% -- 72","","Game Boy Advance","USA / NTSC","baldnate",256.0,"2021-01-10","https://youtu.be/dE_j8mbICag","Played on MiSTer."
5.0,"Jeopardy! Sports Edition (SNES)","CPU%","","","Super Nintendo","","baldnate",1994.0,"2020-12-22","https://www.youtube.com/watch?v=DaGaaX2gUsk","Played on an SNS-001 with SD2SNES."
2.0,"Wheel of Fortune (N64)","Win a Game","","Easy","Nintendo 64","USA / NTSC","baldnate",325.0,"2020-12-14","https://youtu.be/vdWNgIaZa0c","Played on an N64 with ED64."
1.0,"Devil's Crush","TG16","10 Million Points","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",153.0,"2020-12-12","https://youtu.be/H8KYNkXJhdE","Played on a TG-16 with TBED."
1.0,"Home Alone (NES)","Any%","","","Nintendo Entertainment System","","baldnate",1198.0,"2020-12-12","https://youtu.be/UxWCkvZhe8Q","Played on a front-loader with EDN8 as part of Home Alone Together 2020."
1.0,"Devil's Crush","TG16","5 Million Points","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",68.0,"2020-12-12","https://youtu.be/m3-GHt7DkWE","Played on a TG-16 with TBED."
1.0,"Devil's Crush","TG16","Beat The Game","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",1331.0,"2020-12-06","https://www.youtube.com/watch?v=TK4LLfoWgHA&feature=emb_logo","None"
1.0,"Portal for the C64","Beat The Game","1-10","","Web","","baldnate",56.0,"2020-12-01","https://youtu.be/ieXYNie5_DM","Played on archive.org's web VICE emulator."
1.0,"Portal for the C64","Beat The Game","11-20","","Web","","baldnate",87.0,"2020-12-01","https://youtu.be/wZkw6QPLFMY","Played on archive.org's web VICE emulator."
1.0,"Portal for the C64","Beat The Game","Full Game","","Web","","baldnate",144.0,"2020-12-01","https://youtu.be/F6iZIe_BQZo","Played on archive.org's web VICE emulator.    Now featuring three out of bounds glitches."
3.0,"Lee Trevino's Fighting Golf","Japan Course","Any%","","Nintendo Entertainment System","USA / NTSC","baldnate",724.0,"2020-11-28","https://youtu.be/Vy4_7dOapQQ","Played on a front-loader with original cart."
1.0,"Jaki Crush","25 Million Points","","","Super Nintendo","JPN / NTSC","baldnate",633.0,"2020-11-26","https://youtu.be/T5tMEf3EXNw","Played on an SNS-001 with SD2SNES."
4.0,"Lee Trevino's Fighting Golf","U.S.A. Course","Any%","","Nintendo Entertainment System","USA / NTSC","baldnate",750.0,"2020-11-25","https://youtu.be/vYH4BzOlvIQ","Played on a front-loader with original cart."
1.0,"SimCity (NES)","Any%","Metropolis","777 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",492.833,"2020-11-23","https://youtu.be/VYw3UggRTRg","Played on a front-loader with EDN8."
1.0,"SimCity (NES)","Any%","Capital","777 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",155.983,"2020-11-23","https://youtu.be/lAhbS01_pzM","Played on a front-loader with EDN8."
1.0,"SimCity (NES)","Any%","Town","777 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",53.233,"2020-11-23","https://youtu.be/wuplkSA3djo","Played on a front-loader with EDN8."
1.0,"SimCity (NES)","Any%","City","777 -- Easy","Nintendo Entertainment System","USA / NTSC","baldnate",82.283,"2020-11-23","https://youtu.be/anMMdJf568o","Played on a front-loader with EDN8."
2.0,"Win, Lose or Draw","600 Points Victory","","","Nintendo Entertainment System","USA / NTSC","baldnate",223.05,"2020-11-12","https://youtu.be/wW_5GdK3Ozc","Played on a front-loader with an EDN8.    mod edit: framecounted to 3:43.050 / stealThunder"
3.0,"Jeopardy! (Sega Genesis)","CPU%","","","Sega Genesis","USA / NTSC","baldnate",1871.0,"2020-11-10","https://youtu.be/buWi11avcxI","Played on a Genesis v2 with original cart."
1.0,"Ski or Die","All events","","","Nintendo Entertainment System","USA / NTSC","baldnate",412.0,"2020-11-10","https://youtu.be/x2GmAtdWx-4","Played on a front-loader with EDN8."
2.0,"Shufflepuck Café","Tournament","","Standard","Nintendo Entertainment System","JPN / NTSC","baldnate",2074.0,"2020-11-10","https://youtu.be/wUQqo6Bjam0","Played on a front-loader with EDN8."
10.0,"Last Action Hero (NES)","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",513.0,"2020-11-06","https://youtu.be/oZm8iB4CSmA","Played on a front-loader with an EDN8."
7.0,"Fisher-Price: Perfect Fit","Single Player 100%","","","Nintendo Entertainment System","USA / NTSC","baldnate",215.4,"2020-11-04","https://youtu.be/_06t8F4LTP0","Played on a front-loader with an EDN8."
4.0,"Sesame Street ABC","100%","","","Nintendo Entertainment System","USA / NTSC","baldnate",328.966,"2020-11-01","https://youtu.be/fD7DJehCiEk","Played on a front-loader with an EDN8."
31.0,"The Karate Kid","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",284.2,"2020-11-01","https://youtu.be/-YGSCCjdqPE","Played on a front-loader with an EDN8."
13.0,"Lunar Pool","Beat 1-5 Stages","","","Nintendo Entertainment System","","baldnate",367.0,"2020-11-01","https://youtu.be/hPAV4MrNnj0","Played on a front-loader with an EDN8."
19.0,"Palamedes","Tournament","","","Nintendo Entertainment System","USA / NTSC","baldnate",672.0,"2020-10-29","https://youtu.be/XJWKhtF4DPY","Played on a front-loader with an EDN8."
5.0,"Magic Darts","301","","","Nintendo Entertainment System","USA / NTSC","baldnate",24.033,"2020-10-27","https://youtu.be/tdi4Ujvh190","Played on a front-loader with an EDN8."
7.0,"Magic Darts","501","","","Nintendo Entertainment System","USA / NTSC","baldnate",48.467,"2020-10-27","https://youtu.be/AQztsgOUei0","Played on a front-loader with an EDN8."
5.0,"Magic Darts","701","","","Nintendo Entertainment System","USA / NTSC","baldnate",57.833,"2020-10-27","https://youtu.be/TMzQdNC_Bf0","Played on a front-loader with an EDN8."
11.0,"Kid Niki: Radical Ninja","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",951.0,"2020-10-26","https://youtu.be/xvKqgQCPo24","Played on a front-loader with an EDN8."
63.0,"Where's Waldo?","Easy","","","Nintendo Entertainment System","","baldnate",134.95,"2020-10-25","https://youtu.be/UtYKFU2Tcqo","Played on a front-loader with an EDN8."
7.0,"Metroid Category Extensions (NES)","Crash%","","","Nintendo Entertainment System","USA / NTSC","baldnate",30.033,"2020-10-25","https://youtu.be/F3Rnu0sp0UY","Played on a front-loader with an EDN8."
12.0,"Monopoly (NES)","vs. 1 CPU","","","Nintendo Entertainment System","USA / NTSC","baldnate",87.0,"2020-10-21","https://youtu.be/GNo__3dDib4","Played on a front-loader with an EDN8."
6.0,"North & South","Lvl. 2 Difficulty","NES","","Nintendo Entertainment System","USA / NTSC","baldnate",61.667,"2020-10-21","https://youtu.be/1EoAjbhd2nc","Played on a front-loader with an EDN8."
6.0,"California Games (NES)","All events","","","Nintendo Entertainment System","","baldnate",121.0,"2020-10-20","https://youtu.be/T1PE0ZzG54Y","Played on a front-loader with an EDN8."
2.0,"Shufflepuck Café","Individual Levels","","Custom","Nintendo Entertainment System","JPN / NTSC","baldnate",76.583,"2020-10-20","https://youtu.be/JSq3yGR4Ocw","Played on a front-loader with an EDN8."
1.0,"Taboo: The Sixth Sense","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",127.65,"2020-10-19","https://youtu.be/5PUB0JKXxpU","Played on a front-loader with EDN8.    s p o o k y    Time Start: 20.433  Time End: 2:28.083  Total Time: 2:07.650  Timed with AvidEmux 2.7.5"
1.0,"Wheel of Fortune (Wii)","Solo Win","","","Wii","USA / NTSC","baldnate",402.0,"2020-10-18","https://www.youtube.com/watch?v=_LgoekbzPfU","Still more time to save.  Odd balance of using Wii Voice to save typing time, but using the remote to avoid voice recognition misfires."
1.0,"Endless Zone","Any%","","","PC","USA / NTSC","baldnate",353.0,"2020-10-17","https://youtu.be/50cv4G4tEDQ","None"
1.0,"Rollerball","100k Points","","","Nintendo Entertainment System","USA / NTSC","baldnate",34.566,"2020-10-13","https://youtu.be/tUkfsAYmPAU","Played on a front-loader with EDN8.    I tried for 3 hours after this to get anything close to this fast.  Table design and physics is just weird.    MOD NOTE: Retimed: 34.566"
1.0,"Krazy Ivan","Any%","","","PlayStation","USA / NTSC","baldnate",1257.0,"2020-09-30","https://youtu.be/o30HgiBLNh0","Played on a SCPH-1001."
2.0,"Jeopardy! (SNES)","CPU%","","","Super Nintendo","USA / NTSC","baldnate",1655.0,"2020-09-28","https://youtu.be/2d15tae9Qkk","Played on an SNS-001 with SD2SNES."
1.0,"Barney's Hide & Seek Game","Any% No Controller","","","Sega Genesis","USA / NTSC","baldnate",549.0,"2020-09-21","https://youtu.be/8zw3DDQm50Q","Played on a Genesis v2.  Splits are wonky.  Frame counted at 9:09.500 in avidemux."
1.0,"Kids On Site","Doug%","","","Sega CD","USA / NTSC","baldnate",357.0,"2020-09-20","https://youtu.be/SgDTXLbGfZE","Played on a Genesis v2 with MegaSD.    Two new time saves in this route that I discovered while fooling around for Trashathon 4."
2.0,"The Chessmaster (SNES)","Newcomer 1","","","Super Nintendo","USA / NTSC","baldnate",13.384,"2020-09-19","https://youtu.be/ombXExIFVMM","Played on BizHawk. Duration measured from pressing A to seeing checkmate using Avidemux."
1.0,"Putt & Putter","Master System","Practice","","Sega Master System","USA / NTSC","baldnate",84.0,"2020-09-16","https://youtu.be/WHP1znApu1M","Played on a Genesis v2 with MegaSD."
3.0,"James Pond 2","C.H.E.A.T.","","","Sega Master System","","baldnate",33.116,"2020-09-15","https://youtu.be/TqGd_U2srPg","Played on BizHawk."
16.0,"Soccer","10 Goals","","","Nintendo Entertainment System","USA / NTSC","baldnate",401.0,"2020-09-13","https://youtu.be/Kl1hQXE9FlY","Played on a front-loader with EDN8."
4.0,"Wordtris (GB)","25 Words","","Children's -- Next Tile On -- Repeat Words On","Super Game Boy 2","USA / NTSC","baldnate",174.0,"2020-09-13","https://youtu.be/zj-veNmPWjI","None"
6.0,"Scrabble Blast!","Words","10","","Game Boy Advance","USA / NTSC","baldnate",33.0,"2020-09-13","https://youtu.be/kAWhwAtCTyk","Played on BizHawk."
1.0,"Jeopardy! Sports Edition (GEN)","CPU%","","","Sega Genesis","USA / NTSC","baldnate",1988.0,"2020-09-13","https://youtu.be/hbCYCyfDYyo","Played on a Genesis v2 with MegaSD."
3.0,"Jeopardy! Deluxe Edition (GEN)","CPU%","","","Sega Genesis","USA / NTSC","baldnate",1974.0,"2020-09-13","https://youtu.be/9E6I34q1BAw","Played on a Genesis v2 with MegaSD."
1.0,"World Cup USA '94","Any%","","","Super Nintendo","USA / NTSC","baldnate",48.0,"2020-09-13","https://youtu.be/Rntn0tDyRYI","Played on an SNS-001 with SD2SNES."
1.0,"Jeopardy! Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",837.0,"2020-09-13","https://youtu.be/yjRdKc62JPo","Played on a front-loader with EDN8."
16.0,"Minesweeper (Game Boy)","Play Mode","","","Super Game Boy 2","JPN / NTSC","baldnate",14.517,"2020-09-13","https://youtu.be/zv9M-67PDLA","None"
1.0,"The Adventures of Pinocchio","Any%","","","Game Boy","USA / NTSC","baldnate",1.0,"2020-09-13","https://youtu.be/7BzFubr7chY","None"
2.0,"General Chaos","Any%","","","Sega Genesis","USA / NTSC","baldnate",295.0,"2020-09-12","https://www.youtube.com/watch?v=5Xhdyae4A-8","Played on a Genesis v2 with original cart."
2.0,"Ultimate Brain Games","PS","Backgammon","","PlayStation","USA / NTSC","baldnate",126.0,"2020-09-10","https://youtu.be/uM5kcK-qxYc","Played on a SCPH-1001."
2.0,"Ultimate Brain Games","PS","Chess","","PlayStation","USA / NTSC","baldnate",144.0,"2020-09-10","https://youtu.be/LjLOqHcS9KQ","Played on a SCPH-1001."
2.0,"Ultimate Brain Games","PS","Dominoes","","PlayStation","USA / NTSC","baldnate",61.0,"2020-09-10","https://youtu.be/y9dr0br3L8k","Played on a SCPH-1001."
1.0,"Wheel of Fortune (1998)","All Stages (PS)","Solo, 3 Rounds","","PlayStation","USA / NTSC","baldnate",1362.0,"2020-09-10","https://youtu.be/3tDDYhwVyaY","Played on a SCPH-1001."
16.0,"Mr. Driller","500m/2500ft any%","","","PlayStation","USA / NTSC","baldnate",146.5,"2020-09-10","https://youtu.be/X6ArT6-s8cw","Played on a SCPH-1001."
2.0,"Ultimate Brain Games","PS","Reversi","","PlayStation","USA / NTSC","baldnate",56.0,"2020-09-09","https://www.youtube.com/watch?v=7fkqM5ivBro","Played on a SCPH-1001."
2.0,"Ultimate Brain Games","PS","Checkers","","PlayStation","USA / NTSC","baldnate",89.0,"2020-09-09","https://youtu.be/e1Kq0e-o-dg","Played on a SCPH-1001."
3.0,"Tom and Jerry in House Trap","Softlock%","","","PlayStation","USA / NTSC","baldnate",1472.0,"2020-09-09","https://youtu.be/2qDk86JX3W4","Played on a SCPH-1001."
9.0,"Tom and Jerry in House Trap","Beat The Game","","","PlayStation","USA / NTSC","baldnate",1759.0,"2020-09-09","https://youtu.be/u-4qqYdMVRo","Played on a SCPH-1001."
8.0,"The Weakest Link","Any% Lose","","Normal -- Barry","PlayStation","USA / NTSC","baldnate",362.0,"2020-09-07","https://www.youtube.com/watch?v=EaqPwou4FHg","Played on a SCPH-1001."
6.0,"The Weakest Link","Any%","","Junior -- Jojo","PlayStation","USA / NTSC","baldnate",1842.0,"2020-09-07","https://www.youtube.com/watch?v=C7VpWiLP1pw","Played on a SCPH-1001."
4.0,"Warlords 2","Any% Knight (Easy)","Normal","50.000 -- Orange","MS-DOS","","baldnate",1328.0,"2020-08-23","https://www.youtube.com/watch?v=Uw_L5T3KnsQ","Played on DOSBox at 50000 cycles."
2.0,"Warlords 2","Any% Knight (Easy)","Normal","Max -- Blue","MS-DOS","","baldnate",64.0,"2020-08-16","https://www.youtube.com/watch?v=M34_kYJCWGc","Played on DOSBox.    Frame counted at 1:04.7"
4.0,"Warlords 2","Any% Knight (Easy)","Normal","Max -- Orange","MS-DOS","","baldnate",154.0,"2020-08-16","https://www.youtube.com/watch?v=sks1mBMx3Ao","Played on DOSBox"
2.0,"Warlords 2","100% Knight Easy","Normal","Max -- Black","MS-DOS","","baldnate",11308.0,"2020-08-16","https://www.youtube.com/watch?v=zhfk4ma9LWc","Played on DOSBox"
2.0,"Warlords 2","100% Knight Easy","Normal","Max -- Red","MS-DOS","","baldnate",15516.0,"2020-08-15","https://www.youtube.com/watch?v=pmBqtW2t45M","Played on DOSBox."
4.0,"Warlords 2","100% Knight Easy","Normal","Max -- White","MS-DOS","","baldnate",716.0,"2020-08-11","https://youtu.be/wUOY6N1a0z4","None"
2.0,"Warlords 2","100% Knight Easy","Normal","Max -- Black","MS-DOS","","baldnate",1538.0,"2020-08-10","https://youtu.be/1wVUVLppTw4","None"
2.0,"Warlords 2","100% Knight Easy","Normal","Max -- Black","MS-DOS","","baldnate",10335.0,"2020-08-10","https://youtu.be/8B9eQtKVWVo","None"
2.0,"Lords of Thunder","TG-16 CD Any%, 1CC","","","TurboGrafx-16 CD-ROM","USA / NTSC","baldnate",1564.0,"2020-08-02","https://youtu.be/MRsfMZeUN9s","Played on BizHawk 2.4.0    ? DBstyle ?"
1.0,"Bomb Squad","1 Digit","Level 1","","Intellivision","USA / NTSC","baldnate",91.0,"2020-07-21","https://www.youtube.com/watch?v=GCTrpAQ08VQ","Played on jzintv 1.0"
1.0,"Lords of Thunder","Sega CD Any%, 1CC","","","Sega CD","USA / NTSC","baldnate",1707.0,"2020-07-09","https://youtu.be/g06iPNpq-jI","Played on a Genesis v2 with MegaSD."
3.0,"Power Stone","New Game+","Default%","","Dreamcast","","baldnate",831.0,"2020-07-09","https://youtu.be/yyh3w7uRBLY","Played on a US VA1 Dreamcast."
3.0,"Power Stone","New Game+","Easy%","","Dreamcast","","baldnate",606.0,"2020-07-09","https://youtu.be/UHHZToQnYro","Played on a US VA1 Dreamcast.  "
2.0,"The Legend of Kage","1-Loop","","","Nintendo Entertainment System","USA / NTSC","baldnate",432.4,"2020-06-23","https://www.youtube.com/watch?v=ZZerX0gPgVM","Played on a front-loader with an EDN8.    DBstyle"
