"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","Wheel of Fortune (1987)","VS. Cpu","New 3rd Edition","","Commodore 64","USA / NTSC","baldnate",276.0,"2019-12-20","https://www.youtube.com/watch?v=z113VAOHbpM","Played using New Third Edition on VICE."
"","Wheel of Fortune (1987)","Any%","New 3rd Edition","","Commodore 64","USA / NTSC","baldnate",421.0,"2019-12-17","https://www.youtube.com/watch?v=WusX4AdZ6Pc","Played using New Third Edition on VICE."
"","Ikaruga","Level 1 - 1CC - Single player","","","Dreamcast","","baldnate",1408.0,"2019-01-15","https://www.youtube.com/watch?v=FrDQIpdVbQU","Played on the Dreamcast.    I started splits too early and ended too early, so I retimed from the VOD."
"","Fantasy Zone (TG16)","Any%","","","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",550.0,"2018-10-09","https://www.youtube.com/watch?v=zWSAYDe6Vtk","Start time: 0.34  Final hit: 9:11.14    Run time: 9:10.80"
"","Tron: Deadly Discs","100,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",148.0,"2018-02-23","https://www.twitch.tv/videos/231894598","None"
"","Tron: Deadly Discs","Destroy the Recognizer","","Fastest","Intellivision","USA / NTSC","baldnate",28.4,"2018-02-24","https://www.twitch.tv/videos/232258440","None"
"","Tron: Deadly Discs","1,000,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",511.0,"2018-02-24","https://www.twitch.tv/videos/232260062","First finished 1M point run."
"","Tron: Deadly Discs","1,000,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",427.0,"2018-02-24","https://www.twitch.tv/videos/232505122","None"
"","Tron: Deadly Discs","1,000,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",387.0,"2018-02-24","https://www.twitch.tv/videos/232614565","still room for improvement, but no recognizers kept it quick"
"","Tron: Deadly Discs","1,000,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",331.0,"2018-03-06","https://www.twitch.tv/videos/236086248","None"
